"Age","Gender","Avg_Exhaustion","Avg_Engagement"
29,1,21,15
30,1,26,12
30,2,22,14.5
31,2,10,23
32,1,19,19
32,2,18.3333333333333,16.3333333333333
33,1,30,12
33,2,19,17.3333333333333
34,1,23,16.8
34,2,29,10
35,1,20.5,16.5
36,1,23,17
36,2,20.75,16.25
37,1,24.6666666666667,15.6666666666667
37,2,24.6666666666667,16
38,1,23.8571428571429,16.2857142857143
38,2,21.3333333333333,16
39,1,20.7142857142857,18.7142857142857
39,2,25.6666666666667,15
40,1,24,16.2
40,2,20.6666666666667,19.1666666666667
41,1,23.8,14.6
41,2,21.3333333333333,17.3333333333333
42,1,27.75,13.25
42,2,22,21.1666666666667
43,1,21.8333333333333,16.3333333333333
43,2,26.6666666666667,15.3333333333333
44,1,25.6666666666667,14.6666666666667
44,2,18,19.4
45,1,24.7272727272727,14.7272727272727
45,2,24,17.0714285714286
46,1,23.125,17.75
46,2,22,17.5
47,1,24.1111111111111,14.4444444444444
47,2,21.0909090909091,18.0909090909091
48,1,21.2727272727273,16.7272727272727
48,2,20,19.5714285714286
49,1,24.5555555555556,15.4444444444444
49,2,21,15.75
50,1,24.8,16.4
50,2,23.6875,16.5625
51,1,23.1818181818182,16.9090909090909
51,2,24.6666666666667,16.5833333333333
52,1,23.4666666666667,16.8666666666667
52,2,24.25,15.75
53,1,24.7692307692308,17.0769230769231
53,2,24.6,15.5
54,1,24.4444444444444,17.4444444444444
54,2,23.8,16.8
55,1,21.9090909090909,14.8181818181818
55,2,23.2,16.2
56,1,23.9,14.8
56,2,24.3125,16.5
57,1,24.4545454545455,17.3636363636364
57,2,24.2857142857143,16.0714285714286
58,1,22.75,15.75
58,2,24.1666666666667,13.3333333333333
59,1,23.6666666666667,16.5
59,2,24.8571428571429,14.2857142857143
60,1,21.9,18.3
60,2,24.4,15
61,1,23.6153846153846,15.8461538461538
61,2,25,15.2
62,1,23.3333333333333,15.6666666666667
62,2,21.2666666666667,17.4666666666667
63,1,23.4666666666667,16.6666666666667
63,2,25.2857142857143,16.1428571428571
64,1,28.5,16.5
64,2,25,14.6
65,1,21,12.6
65,2,27.25,13.75
66,1,21.5714285714286,18.1428571428571
66,2,26,15
67,1,24,15
67,2,24,17
68,1,27.5,12.5
68,2,15,15
69,2,19,18
70,1,26,15
70,2,25,17
71,1,21,16
73,1,30,20
74,2,27,9
76,1,25,11
83,1,20,15
